index,A,A_s,B,B_s
228,0,0,0,0
229,0,0,-0.030878748,0
230,0,0,-0.266915934,0
231,0,0,-0.540546928,0
232,0,0,-0.705132553,0
233,0,0,-0.840762411,0
234,0,0,-1.021321978,0
235,0.176760231,0,-1.154595784,0
236,0.351252283,0,-1.240860939,0
237,0.395923035,0,-1.223341942,0
238,0.354720763,0,-1.158491135,0
239,0.415971313,0,-1.157106944,0
240,0.605883053,0,-1.267421995,-0.142857143
241,0.602374145,0,-1.28038093,-0.285714286
242,0.539148978,0,-1.359938758,-0.428571429
243,0.477065563,0,-1.434712955,-0.571428571
244,0.389746087,0,-1.492360524,-0.714285714
245,0.301435096,0,-1.544805118,-0.857142857
246,0.205684492,0,-1.586234501,-1
247,0,0,-1.52129146,-0.857142857
248,0,0,-1.283070973,-0.714285714
249,0,0,-1.024656977,-0.571428571
250,0,0,-0.721901281,-0.428571429
251,0,0,-0.405917474,-0.285714286
252,0,0,-0.091218472,-0.142857143
253,0,0,0,0
254,0,0,0,0
255,0,0,0,0
256,0,0,0,0
257,0,0,0,0
258,0,0,0,0
259,0,0,0,0
260,0,0,0,0
261,0.157759632,0,0,0
262,0.346046073,0,0,0
263,0.346920729,0,0,0
264,0.285685437,0,0,0
265,0.20326863,0,0,0
266,0,0,0,0
267,0,0,0,0
268,0.088197163,0,0,0
269,0.319537027,0,0,0
270,0.667228631,0,0,0
271,0.998019832,0,-0.091338294,0
272,1.204843249,0,-0.302207811,0
273,1.431562696,0,-0.575679643,0
274,1.491693769,0,-0.866967746,0
275,1.251788821,0,-0.837088789,0
276,1.020545006,0,-0.809332371,0
277,0.856015137,0,-0.826234818,0
278,0.748836245,0,-0.908810002,0
279,0.484491655,0,-0.860114574,0
280,0.29370703,0,-0.834908826,0
281,0.208816903,0,-0.794584138,0
282,0.284450429,0,-0.888167518,0
283,0.457801104,0,-1.090385982,-0.142857143
284,0.609544073,0,-1.266251019,-0.285714286
285,0.829664503,0,-1.459072658,-0.428571429
286,1.191210066,0,-1.748573576,-0.571428571
287,1.493337086,0,-2.046353476,-0.714285714
288,1.777475902,0,-2.326792853,-0.857142857
289,1.932549068,0,-2.439237595,-1
290,1.96402795,0,-2.410135542,-0.857142857
291,1.932746887,0,-2.317260742,-0.714285714
292,1.911388533,0,-2.278958321,-0.714285714
293,1.826799665,0,-2.22111048,-0.714285714
294,1.748350416,0,-2.181322506,-0.714285714
295,1.547250475,0,-2.079202516,-0.714285714
296,1.406698772,0,-2.045472826,-0.714285714
297,1.255964279,0,-2.01734393,-0.857142857
298,1.171509334,0,-2.033491135,-1
299,0.902350494,0,-1.808611189,-0.857142857
300,0.643744877,0,-1.572610038,-0.714285714
301,0.480600527,0,-1.3240742,-0.571428571
302,0.529658113,0,-1.233845302,-0.428571429
303,0.505090577,0,-1.154934747,-0.285714286
304,0.526765347,0,-1.168363026,-0.142857143
305,0.569828033,0,-1.234719685,0
306,0.761852741,0,-1.474555561,0
307,0.968747207,0,-1.688191959,0
308,1.158219065,0,-1.941093717,0
309,1.192179544,0,-2.05509104,0
310,1.256928444,0,-2.158910479,0
311,1.447072302,0,-2.294130598,-0.142857143
312,1.553166117,0,-2.328220367,-0.285714286
313,1.586588178,0.142857143,-2.28625352,-0.428571429
314,1.529433114,0.285714286,-2.202118329,-0.571428571
315,1.469422613,0.428571429,-2.137808664,-0.714285714
316,1.484843527,0.571428571,-2.149238314,-0.857142857
317,1.600878988,0.714285714,-2.21808815,-1
318,1.592628751,0.857142857,-2.152894156,-0.857142857
319,1.582362584,1,-2.14522607,-0.714285714
320,1.581954956,1,-2.149606432,-0.571428571
321,1.75824901,1,-2.210194179,-0.428571429
322,1.888985361,1,-2.214189938,-0.285714286
323,2.014842033,1,-2.208206449,-0.142857143
324,1.994385311,0.857142857,-2.124155317,-0.142857143
325,1.891206333,0.714285714,-1.971960068,-0.285714286
326,1.847809928,0.571428571,-1.82172857,-0.428571429
327,1.830683163,0.428571429,-1.703973498,-0.571428571
328,1.740944454,0.285714286,-1.59056609,-0.714285714
329,1.709622792,0.142857143,-1.529645511,-0.857142857
330,1.650748525,0,-1.424130304,-1
331,1.590326309,0,-1.285696438,-1
332,1.451693671,0,-1.182513373,-1
333,1.251988956,0,-1.024480139,-1
334,1.064378125,0,-0.922660283,-1
335,0.827329023,0,-0.847472191,-1
336,0.470172541,0,-0.623747826,-1
337,0.219751426,0,-0.475805044,-0.857142857
338,0,0,-0.25361211,-0.714285714
339,0,0,-0.090697016,-0.571428571
340,0,0,-0.101375716,-0.428571429
341,0,0,-0.091962985,-0.285714286
342,0,0,-0.123017924,-0.142857143
343,0,0,-0.194401605,0
344,0,0,-0.09928424,0
345,0,0,-0.103381021,0
346,0,0.142857143,-0.251398632,0
347,0,0.285714286,-0.236474037,0
348,0,0.428571429,-0.162896497,0
349,0,0.571428571,-0.009506157,0
350,0,0.714285714,0,0
351,0,0.857142857,-0.083502497,0
352,0,1,-0.452355623,-0.142857143
353,0,0.857142857,-0.54674404,-0.285714286
354,0,0.714285714,-0.640833582,-0.428571429
355,0,0.571428571,-0.794512408,-0.571428571
356,0,0.428571429,-0.942878178,-0.714285714
357,0,0.285714286,-1.026753834,-0.857142857
358,0,0.142857143,-1.062151705,-1
359,0,0,-0.799110208,-0.857142857
360,0,0,-0.726206371,-0.857142857
361,0,0,-0.873715673,-0.857142857
362,0,0,-0.963114194,-0.857142857
363,0,0,-1.093266078,-0.857142857
364,0,0,-1.217750413,-0.857142857
365,0,0,-1.482034138,-0.857142857
366,0.02053581,0,-1.726821899,-1
367,0.310565676,0,-2.069944927,-0.857142857
368,0.48838377,0,-2.227983475,-0.714285714
369,0.75050354,0,-2.413881574,-0.571428571
370,0.977532523,0,-2.569284439,-0.428571429
371,1.299680982,0,-2.78355435,-0.285714286
372,1.703070232,0,-2.949900763,-0.142857143
373,2.157918658,0,-3.168240411,0
374,2.289772579,0,-3.189155579,0
375,2.38347326,0,-3.139712742,0
376,2.325805392,0,-3.021593911,0
377,2.258305005,0,-2.825758525,0
378,2.082534654,0,-2.634117671,0
379,1.750903266,0,-2.383888517,0
380,1.388270514,0,-2.166888101,0
381,1.112047672,0,-1.977840287,-0.142857143
382,0.788644246,0,-1.804389,-0.285714286
383,0.675660951,0,-1.75667681,-0.428571429
384,0.621643066,0,-1.8975514,-0.571428571
385,0.582585062,0,-1.961569922,-0.714285714
386,0.485792058,0,-1.923687117,-0.857142857
387,0.429161549,0,-1.920807021,-1
388,0.45854766,0,-1.976273809,-0.857142857
389,0.644521713,0,-2.106564794,-0.714285714
390,0.804991926,0,-2.223074232,-0.571428571
391,0.839867115,0,-2.227830614,-0.428571429
392,0.876910482,0,-2.216705459,-0.285714286
393,1.060207639,0,-2.303444999,-0.142857143
394,1.138004712,0,-2.294619969,0
395,1.079841409,0,-2.169759205,0
396,0.861285414,0,-1.992217609,0
397,0.486311163,0,-1.711412294,0
398,0.166908843,0,-1.389972687,0
399,0,0,-1.117797647,0
400,0,0,-0.892496381,0
